"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 05 23:15:45 BOT 2026","Sun Jul 05 23:16:17 BOT 2026","32679","","Inicio de Sesión de Participantes en Patito Client","","Inicio de sesión exitoso con credenciales válidas","","Inicio de sesión exitoso con credenciales válidas","  Como participante del Juez Virtual
  Quiero iniciar sesión con mi usuario y contraseña
  Para acceder a resolver problemas y ver mis envíos"
"passed","Sun Jul 05 23:09:58 BOT 2026","Sun Jul 05 23:10:37 BOT 2026","38626","","Gestión de Problemas en Panel Administrativo","","Crear problema y validar que se lista - Número par","","Crear problema y validar que se lista - Número par","  Como docente o administrador del Juez Virtual
  Quiero registrar nuevos problemas
  Para que los participantes puedan resolverlos"
"passed","Sun Jul 05 23:09:01 BOT 2026","Sun Jul 05 23:09:03 BOT 2026","1853","","Inicio de Sesión Administrativo en Juez Virtual Admin","","Inicio de sesión administrativo exitoso con rol de Administrador","","Inicio de sesión administrativo exitoso con rol de Administrador","  Como administrador, docente o auxiliar
  Quiero iniciar sesión en el panel administrativo
  Para gestionar usuarios, problemas, concursos y configuraciones"
"passed","Sun Jul 05 23:16:35 BOT 2026","Sun Jul 05 23:16:52 BOT 2026","17636","","Inicio de Sesión de Participantes en Patito Client","","Intento de inicio de sesión con credenciales inválidas","","Intento de inicio de sesión con credenciales inválidas","  Como participante del Juez Virtual
  Quiero iniciar sesión con mi usuario y contraseña
  Para acceder a resolver problemas y ver mis envíos"
"passed","Sun Jul 05 23:11:15 BOT 2026","Sun Jul 05 23:11:54 BOT 2026","38826","","Gestión de Problemas en Panel Administrativo","","Crear problema y validar que se lista - Tabla de multiplicar","","Crear problema y validar que se lista - Tabla de multiplicar","  Como docente o administrador del Juez Virtual
  Quiero registrar nuevos problemas
  Para que los participantes puedan resolverlos"
"passed","Sun Jul 05 23:16:52 BOT 2026","Sun Jul 05 23:16:55 BOT 2026","2360","","Tabla de Clasificación Global","","Buscar usuario en la tabla de clasificación","","Buscar usuario en la tabla de clasificación","  Como participante o visitante del Juez Virtual
  Quiero ver el ranking general de competidores
  Para conocer el desempeño y efectividad de los usuarios"
"broken","Sun Jul 05 23:20:48 BOT 2026","Sun Jul 05 23:21:29 BOT 2026","41110","","Gestión y uso de contests","","Crear un contest privado y validar el acceso del participante registrado","","Crear un contest privado y validar el acceso del participante registrado","  Como administrador del Juez Virtual
  Quiero crear contests públicos y privados desde el panel administrativo
  Para que los participantes vean problemas, envíen soluciones y aparezcan en las clasificaciones"
"passed","Sun Jul 05 23:08:19 BOT 2026","Sun Jul 05 23:09:01 BOT 2026","41217","","Administrador de Archivos de Problemas","","Carga exitosa de archivo de salida de casos de prueba (.out)","","Carga exitosa de archivo de salida de casos de prueba (.out)","  Como docente del Juez Virtual
  Quiero cargar archivos de casos de prueba (.in y .out)
  Para que el Juez Virtual evalúe las soluciones de los participantes"
"broken","Sun Jul 05 23:18:08 BOT 2026","Sun Jul 05 23:19:21 BOT 2026","73060","","Envío y Evaluación de Soluciones","","Envío de solución con error de compilación (CE)","","Envío de solución con error de compilación (CE)","  Como participante registrado en el Juez Virtual
  Quiero enviar código de solución para un problema
  Para verificar si es correcto (Accepted) o tiene errores"
"passed","Sun Jul 05 23:19:21 BOT 2026","Sun Jul 05 23:20:07 BOT 2026","45919","","Gestión y uso de contests","","Crear los problemas base para las pruebas de contests","","Crear los problemas base para las pruebas de contests","  Como administrador del Juez Virtual
  Quiero crear contests públicos y privados desde el panel administrativo
  Para que los participantes vean problemas, envíen soluciones y aparezcan en las clasificaciones"
"passed","Sun Jul 05 23:14:28 BOT 2026","Sun Jul 05 23:15:06 BOT 2026","38385","","Gestión de Problemas en Panel Administrativo","","Crear problema y validar que se lista - ¿Es primo?","","Crear problema y validar que se lista - ¿Es primo?","  Como docente o administrador del Juez Virtual
  Quiero registrar nuevos problemas
  Para que los participantes puedan resolverlos"
"broken","Sun Jul 05 23:16:55 BOT 2026","Sun Jul 05 23:18:08 BOT 2026","73362","","Envío y Evaluación de Soluciones","","Envío de solución correcta con veredicto Aceptado (AC)","","Envío de solución correcta con veredicto Aceptado (AC)","  Como participante registrado en el Juez Virtual
  Quiero enviar código de solución para un problema
  Para verificar si es correcto (Accepted) o tiene errores"
"passed","Sun Jul 05 23:09:19 BOT 2026","Sun Jul 05 23:09:58 BOT 2026","38427","","Gestión de Problemas en Panel Administrativo","","Crear problema y validar que se lista - Suma de dos números","","Crear problema y validar que se lista - Suma de dos números","  Como docente o administrador del Juez Virtual
  Quiero registrar nuevos problemas
  Para que los participantes puedan resolverlos"
"passed","Sun Jul 05 23:10:37 BOT 2026","Sun Jul 05 23:11:15 BOT 2026","38351","","Gestión de Problemas en Panel Administrativo","","Crear problema y validar que se lista - Mayor de tres","","Crear problema y validar que se lista - Mayor de tres","  Como docente o administrador del Juez Virtual
  Quiero registrar nuevos problemas
  Para que los participantes puedan resolverlos"
"passed","Sun Jul 05 23:07:42 BOT 2026","Sun Jul 05 23:08:08 BOT 2026","25557","","Registro de Participantes en Patito Client","","Registro de participante exitoso","","Registro de participante exitoso","  Como usuario visitante del Juez Virtual
  Quiero registrar un nuevo perfil de participante
  Para poder iniciar sesión y resolver problemas"
"broken","Sun Jul 05 23:21:29 BOT 2026","Sun Jul 05 23:22:10 BOT 2026","40954","","Gestión y uso de contests","","Validar distintos veredictos del juez en un contest público","","Validar distintos veredictos del juez en un contest público","  Como administrador del Juez Virtual
  Quiero crear contests públicos y privados desde el panel administrativo
  Para que los participantes vean problemas, envíen soluciones y aparezcan en las clasificaciones"
